timestamp;status_code;length;output_file
2022-08-04 16:44:47;200;334499;D:\my github\SocialData2022
2022-08-04 16:44:48;200;332151;D:\my github\SocialData2022
2022-08-04 16:44:50;200;331778;D:\my github\SocialData2022
2022-08-04 16:44:51;200;329256;D:\my github\SocialData2022
2022-08-04 16:44:52;200;331390;D:\my github\SocialData2022
2022-08-05 10:25:19;200;333823;D:\my github\SocialData2022
2022-08-05 10:25:20;200;327661;D:\my github\SocialData2022
2022-08-05 10:25:21;200;323221;D:\my github\SocialData2022
2022-08-05 10:25:22;200;325748;D:\my github\SocialData2022
2022-08-05 10:25:23;200;327459;D:\my github\SocialData2022
2022-08-05 10:57:09;200;329148;D:\my github\SocialData2022
2022-08-05 10:57:10;200;334008;D:\my github\SocialData2022
2022-08-05 10:57:11;200;327113;D:\my github\SocialData2022
2022-08-05 10:57:13;200;320002;D:\my github\SocialData2022
2022-08-05 10:57:14;200;321282;D:\my github\SocialData2022
